location,location_type,temp_c,heat_index_c,hour_of_day,exceedance_duration,safe_duration_minutes
Madrid Central Bus Station,bus_stop,36.0,39.5,8,3,10
Madrid Central Bus Station,bus_stop,37.0,40.5,10,2,11
Madrid Central Bus Station,bus_stop,36.0,39.5,8,0,14
Madrid Central Bus Station,bus_stop,37.0,40.5,10,3,10
Madrid Central Bus Station,bus_stop,37.0,40.5,18,0,14
Madrid Central Bus Station,bus_stop,36.5,40.0,9,3,10
Madrid Central Bus Station,bus_stop,36.5,40.0,9,3,10
Madrid Central Bus Station,bus_stop,37.0,40.5,10,0,15
Madrid Central Bus Station,bus_stop,37.5,41.0,11,4,8
Madrid Central Bus Station,bus_stop,36.5,40.0,19,2,11
Madrid Central Bus Station,bus_stop,38.0,41.5,12,4,8
Madrid Central Bus Station,bus_stop,37.5,41.0,11,4,9
Madrid Central Bus Station,bus_stop,36.5,40.0,9,3,10
Madrid Central Bus Station,bus_stop,38.0,41.5,12,2,11
Madrid Central Bus Station,bus_stop,37.5,41.0,17,3,10
Madrid Central Bus Station,bus_stop,37.0,40.5,18,1,13
Madrid Central Bus Station,bus_stop,37.0,40.5,10,3,10
Madrid Central Bus Station,bus_stop,36.0,39.5,20,4,8
Madrid Central Bus Station,bus_stop,39.0,42.5,14,1,13
Madrid Central Bus Station,bus_stop,39.0,42.5,14,0,15
Madrid Central Bus Station,bus_stop,38.5,42.0,13,1,13
Madrid Central Bus Station,bus_stop,37.0,40.5,10,0,15
Madrid Central Bus Station,bus_stop,37.0,40.5,18,3,10
Madrid Central Bus Station,bus_stop,36.0,39.5,8,2,11
Madrid Central Bus Station,bus_stop,38.0,41.5,16,1,13
Madrid Central Bus Station,bus_stop,37.0,40.5,18,3,10
Madrid Central Bus Station,bus_stop,38.5,42.0,15,3,10
Madrid Central Bus Station,bus_stop,39.0,42.5,14,4,9
Madrid Central Bus Station,bus_stop,36.5,40.0,19,3,10
Madrid Central Bus Station,bus_stop,37.0,40.5,18,2,12
Madrid Central Bus Station,bus_stop,37.0,40.5,18,4,9
Madrid Central Bus Station,bus_stop,36.0,39.5,20,0,14
Madrid Central Bus Station,bus_stop,36.5,40.0,9,2,11
Madrid Central Bus Station,bus_stop,38.5,42.0,15,0,15
Madrid Central Bus Station,bus_stop,38.0,41.5,16,3,10
Madrid Central Bus Station,bus_stop,37.5,41.0,11,3,10
Madrid Central Bus Station,bus_stop,35.5,39.0,7,2,11
Madrid Central Bus Station,bus_stop,37.5,41.0,17,4,9
Madrid Central Bus Station,bus_stop,37.5,41.0,17,4,8
Bangkok Sukhumvit,residential,37.0,40.5,11,3,10
Bangkok Sukhumvit,residential,37.5,41.0,16,4,9
Bangkok Sukhumvit,residential,35.5,39.0,8,2,12
Bangkok Sukhumvit,residential,38.0,41.5,13,0,14
Bangkok Sukhumvit,residential,35.5,39.0,20,0,14
Bangkok Sukhumvit,residential,37.0,40.5,17,1,13
Bangkok Sukhumvit,residential,37.0,40.5,11,3,10
Bangkok Sukhumvit,residential,38.5,42.0,14,3,10
Bangkok Sukhumvit,residential,35.0,38.5,7,3,10
Bangkok Sukhumvit,residential,38.0,41.5,13,2,11
Bangkok Sukhumvit,residential,34.5,38.0,6,0,14
Bangkok Sukhumvit,residential,37.0,40.5,11,0,15
Bangkok Sukhumvit,residential,35.5,39.0,8,1,13
Bangkok Sukhumvit,residential,38.5,42.0,14,1,13
Bangkok Sukhumvit,residential,37.5,41.0,12,3,10
Bangkok Sukhumvit,residential,37.5,41.0,12,1,13
Bangkok Sukhumvit,residential,37.5,41.0,16,3,10
Bangkok Sukhumvit,residential,37.0,40.5,17,4,9
Bangkok Sukhumvit,residential,38.0,41.5,13,4,8
Bangkok Sukhumvit,residential,34.5,38.0,6,1,13
Bangkok Sukhumvit,residential,36.5,40.0,18,0,15
Bangkok Sukhumvit,residential,36.5,40.0,18,4,8
Bangkok Sukhumvit,residential,37.0,40.5,11,1,13
Bangkok Sukhumvit,residential,36.5,40.0,10,3,10
Bangkok Sukhumvit,residential,37.5,41.0,16,2,12
Bangkok Sukhumvit,residential,38.0,41.5,15,3,10
Bangkok Sukhumvit,residential,37.0,40.5,11,2,12
Bangkok Sukhumvit,residential,38.0,41.5,15,1,13
Bangkok Sukhumvit,residential,37.0,40.5,17,2,12
Bangkok Sukhumvit,residential,38.0,41.5,15,0,15
Bangkok Sukhumvit,residential,37.0,40.5,11,0,14
Bangkok Sukhumvit,residential,35.0,38.5,7,1,13
Bangkok Sukhumvit,residential,35.5,39.0,8,4,8
Bangkok Sukhumvit,residential,38.0,41.5,15,1,13
Bangkok Sukhumvit,residential,37.5,41.0,12,1,13
Bangkok Sukhumvit,residential,38.5,42.0,14,1,13
Bangkok Sukhumvit,residential,38.0,41.5,13,2,11
Bangkok Sukhumvit,residential,37.0,40.5,11,3,10
Bangkok Sukhumvit,residential,36.0,39.5,19,2,12
Bangkok Sukhumvit,residential,38.0,41.5,13,1,13
Bangkok Sukhumvit,residential,37.5,41.0,12,4,9
Bangkok Sukhumvit,residential,38.0,41.5,13,3,10
Bangkok Sukhumvit,residential,37.5,41.0,12,3,10
Bangkok Sukhumvit,residential,35.0,38.5,7,4,8
Bangkok Sukhumvit,residential,36.5,40.0,18,1,13
Bangkok Sukhumvit,residential,36.5,40.0,10,1,13
Bangkok Sukhumvit,residential,35.5,39.0,8,3,10
Bangkok Sukhumvit,residential,36.5,40.0,18,3,10
Bangkok Sukhumvit,residential,35.0,38.5,7,4,8
Bangkok Sukhumvit,residential,36.5,40.0,18,4,9
Bangkok Sukhumvit,residential,37.0,40.5,11,4,9
Bangkok Sukhumvit,residential,34.5,38.0,6,3,10
Bangkok Sukhumvit,residential,37.5,41.0,12,0,15
Bangkok Sukhumvit,residential,37.5,41.0,16,1,13
Bangkok Sukhumvit,residential,34.5,38.0,6,3,10
Bangkok Sukhumvit,residential,36.0,39.5,19,0,14
Bangkok Sukhumvit,residential,35.0,38.5,7,1,13
Bangkok Sukhumvit,residential,37.0,40.5,17,4,9
Bangkok Sukhumvit,residential,36.0,39.5,19,4,9
Bangkok Sukhumvit,residential,35.5,39.0,8,4,8
Bangkok Sukhumvit,residential,36.0,39.5,9,1,13
Bangkok Sukhumvit,residential,38.0,41.5,15,2,12
Bangkok Sukhumvit,residential,38.0,41.5,15,4,8
Bangkok Sukhumvit,residential,37.0,40.5,17,2,11
Bangkok Sukhumvit,residential,36.5,40.0,10,4,9
Bangkok Sukhumvit,residential,37.5,41.0,16,0,14
Bangkok Sukhumvit,residential,36.5,40.0,18,3,10
Bangkok Sukhumvit,residential,36.5,40.0,10,1,13
Bangkok Sukhumvit,residential,35.5,39.0,8,1,13
Bangkok Sukhumvit,residential,37.0,40.5,11,1,13
Bangkok Sukhumvit,residential,37.5,41.0,16,3,10
Bangkok Sukhumvit,residential,38.0,41.5,15,2,12
Bangkok Sukhumvit,residential,37.5,41.0,12,3,10
Bangkok Sukhumvit,residential,36.5,40.0,18,0,14
Bangkok Sukhumvit,residential,37.0,40.5,17,2,12
Bangkok Sukhumvit,residential,35.5,39.0,20,2,11
Bangkok Sukhumvit,residential,38.0,41.5,13,2,12
Bangkok Sukhumvit,residential,36.0,39.5,19,0,15
Bangkok Sukhumvit,residential,38.0,41.5,13,2,12
Bangkok Sukhumvit,residential,36.5,40.0,18,4,8
Bangkok Sukhumvit,residential,37.5,41.0,12,1,13
Bangkok Sukhumvit,residential,37.0,40.5,11,2,11
Bangkok Sukhumvit,residential,38.0,41.5,15,1,13
Bangkok Sukhumvit,residential,38.0,41.5,13,2,12
Bangkok Sukhumvit,residential,36.5,40.0,18,0,14
Bangkok Sukhumvit,residential,37.5,41.0,16,3,9
Bangkok Sukhumvit,residential,35.5,39.0,20,1,13
Bangkok Sukhumvit,residential,34.5,38.0,6,3,10
Bangkok Sukhumvit,residential,37.0,40.5,17,1,14
Bangkok Sukhumvit,residential,36.5,40.0,10,1,14
Bangkok Sukhumvit,residential,35.5,39.0,20,2,11
Bangkok Sukhumvit,residential,37.0,40.5,11,2,11
Bangkok Sukhumvit,residential,37.5,41.0,16,1,12
Bangkok Sukhumvit,residential,37.5,41.0,16,2,12
Bangkok Sukhumvit,residential,36.5,40.0,18,1,13
Bangkok Sukhumvit,residential,35.0,38.5,7,0,14
Bangkok Sukhumvit,residential,38.0,41.5,13,0,14
Bangkok Sukhumvit,residential,36.0,39.5,9,4,9
Bangkok Sukhumvit,residential,34.5,38.0,6,0,15
Bangkok Sukhumvit,residential,36.0,39.5,19,0,15
